class_name,sensitivity,specificity,ppv,npv,f1,support
asthma,0.896551724137931,0.9945945945945946,0.9811320754716981,0.968421052631579,0.9369369369369369,58
Bronchial,0.9523809523809523,1.0,1.0,0.9955156950672646,0.975609756097561,21
copd,0.9875,0.9938650306748467,0.9875,0.9938650306748467,0.9875,80
healthy,0.9629629629629629,0.9814814814814815,0.8666666666666667,0.9953051643192489,0.912280701754386,27
pneumonia,0.9649122807017544,0.9731182795698925,0.9166666666666666,0.9890710382513661,0.9401709401709402,57
